"Betreiber","Ort","Inbetriebnahmedatum"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","1999-12-31"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","1999-12-31"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","1999-12-31"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2011-01-01"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2012-10-01"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2012-10-01"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2016-04-01"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2016-07-27"
"APCOA PARKING Deutschland GmbH","Heidelberg","2016-12-01"
"APCOA PARKING Deutschland GmbH","Heidelberg","2016-12-01"
"APCOA PARKING Deutschland GmbH","Heidelberg","2017-01-25"
"Sparkasse Heidelberg","Heidelberg","2017-05-10"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2017-09-15"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2018-05-30"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2018-07-20"
"HEG Heidelberger Energiegenossenschaft eG","Heidelberg","2019-02-01"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2019-03-28"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2019-04-09"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2019-04-19"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2019-04-19"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2019-04-19"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2019-11-22"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2019-11-22"
"Mercedes-Benz AG - Niederlassung Mannheim-Heidelberg-Landau","Heidelberg","2020-02-18"
"Mercedes-Benz AG - Niederlassung Mannheim-Heidelberg-Landau","Mannheim","2020-02-18"
"Mercedes-Benz AG - Niederlassung Mannheim-Heidelberg-Landau","Heidelberg","2020-02-18"
"Mercedes-Benz AG - Niederlassung Mannheim-Heidelberg-Landau","Heidelberg","2020-02-18"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-03-13"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-03-13"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-03-20"
"EMBL Heidelberg","Heidelberg","2020-03-23"
"EMBL Heidelberg","Heidelberg","2020-03-23"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-06-08"
"SBW Betreibergesellschaft GmbH","Heidelberg","2020-07-07"
"SBW Betreibergesellschaft GmbH","Heidelberg","2020-07-07"
"SBW Betreibergesellschaft GmbH","Heidelberg","2020-07-07"
"Comfortcharge GmbH","Heidelberg","2020-07-15"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-08-11"
"HEG Heidelberger Energiegenossenschaft eG","Heidelberg","2020-08-28"
"HEG Heidelberger Energiegenossenschaft eG","Heidelberg","2020-08-28"
"HEG Heidelberger Energiegenossenschaft eG","Heidelberg","2020-08-28"
"HEG Heidelberger Energiegenossenschaft eG","Heidelberg","2020-08-28"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-09-15"
"Augustinum Energiemanagement GmbH","Heidelberg","2020-09-17"
"ALDI SÜD","Heidelberg","2020-11-10"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-11-26"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-11-30"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-12-04"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-12-12"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-12-17"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2020-12-23"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-01-11"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-01-15"
"Charge-ON GmbH","Heidelberg","2021-02-14"
"Charge-ON GmbH","Heidelberg","2021-02-14"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-02-23"
"ALDI SÜD","Heidelberg","2021-03-09"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-04-09"
"ALDI SÜD","Heidelberg","2021-04-21"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-06-17"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-06-17"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-06-24"
"EWE Go GmbH","Heidelberg","2021-07-15"
"EWE Go GmbH","Heidelberg","2021-07-15"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-08-06"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-08-12"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-08-20"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-08-20"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-08-30"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-11-30"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-11-30"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2021-11-30"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2022-03-09"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2022-03-25"
"Stadtwerke Heidelberg Energie GmbH","Heidelberg","2022-03-25"
