"Betreiber","Jahr","Stationen_pro_Jahr","Ladepunkte_pro_Jahr"
"ALDI SÜD",2020,"1","2"
"ALDI SÜD",2021,"2","6"
"APCOA PARKING Deutschland GmbH",2016,"2","4"
"APCOA PARKING Deutschland GmbH",2017,"1","2"
"Augustinum Energiemanagement GmbH",2020,"1","2"
"Charge-ON GmbH",2021,"2","2"
"Comfortcharge GmbH",2020,"1","1"
"EMBL Heidelberg",2020,"2","4"
"EWE Go GmbH",2021,"2","5"
"HEG Heidelberger Energiegenossenschaft eG",2019,"1","2"
"HEG Heidelberger Energiegenossenschaft eG",2020,"4","7"
"Mercedes-Benz AG - Niederlassung Mannheim-Heidelberg-Landau",2020,"4","8"
"SBW Betreibergesellschaft GmbH",2020,"3","6"
"Sparkasse Heidelberg",2017,"1","1"
"Stadtwerke Heidelberg Energie GmbH",1999,"3","12"
"Stadtwerke Heidelberg Energie GmbH",2011,"1","2"
"Stadtwerke Heidelberg Energie GmbH",2012,"2","2"
"Stadtwerke Heidelberg Energie GmbH",2016,"2","3"
"Stadtwerke Heidelberg Energie GmbH",2017,"1","1"
"Stadtwerke Heidelberg Energie GmbH",2018,"2","4"
"Stadtwerke Heidelberg Energie GmbH",2019,"7","16"
"Stadtwerke Heidelberg Energie GmbH",2020,"12","34"
"Stadtwerke Heidelberg Energie GmbH",2021,"15","44"
"Stadtwerke Heidelberg Energie GmbH",2022,"3","8"
